precio;superficie;habitaciones;ascensor;banos;aire_acond;balcon;terraza;renta;longevidad;educ_sup;presion_mig;hospital;metro;universidad;autobus_interurbano;autobus_local;policia_local
216000;103;4;0;1;0;0;1;14172;26.849;429.787.234;68.085.106;0.418618129675097;221.233.515.952.779;0.230126038405459;234.377.362.144.587;0.602338210448731;0.323522417106822
159900;58;2;0;1;1;0;0;15415;29.723;401.055.409;63.324.538;0.279921454629785;0.14655821450878;0.330036655282127;15.714.959.057.247;0.177271467111521;0.197714892837107
309990;108;4;1;2;1;1;0;11554;36.58;250.755.287;0.9090909;0.62005239631486;194.233.175.400.455;137.433.946.542.809;257.938.095.443.809;0.237257720384827;0.759057344413853
199000;84;3;1;2;1;0;0;8370;7.581;176.785.714;14.285.714;10.027.305.456.272;472.598.985.123.391;47.793.033.494.788;0.949755038849478;197.500.301.889.287;148.124.460.690.674
398000;122;4;1;2;0;0;0;15828;34.563;438.413.361;45.833.333;0.196096504611032;0.347873943261828;0.247514558794631;143.236.066.614.703;0.263533862459534;0.372955763327269
240000;70;2;0;1;1;0;1;14599;22.484;495.412.844;55.045.872;0.303970746419168;208.227.502.934.769;0.332283689644283;184.564.003.450.406;0.455479251775092;0.703923449650778
343900;121;3;1;2;1;1;1;16220;39.297;434.146.341;29.268.293;0.281151307643148;189.379.109.577.939;0.205717261916015;19.473.204.770.258;0.69766756905787;0.692763479119773
270000;90;3;0;2;1;0;1;15042;30.584;411.650.485;93.385.214;0.40379008043271;109.052.059.103.536;104.262.236.629.174;117.634.029.522.461;0.637496904910107;115.565.936.515.263
360000;91;3;1;2;1;0;1;14481;33.737;383.495.146;38.834.951;0.141829008043257;0.520895774348837;0.663199535406897;12.909.324.825.289;0.534151666228774;0.57384283940275
468000;130;3;1;2;0;0;0;17304;30.807;52.617.801;34.031.414;0.566424022034408;0.640343173385054;0.494565323514353;164.365.249.629.173;0.503179934901487;0.593910708127454
210000;40;1;0;1;1;0;0;16054;24.135;495.192.308;72.115.385;0.173785777185531;140.483.433.326.951;0.761629097699298;130.239.878.924.783;102.264.966.693.276;115.134.342.624.325
220000;45;1;0;1;1;0;0;16054;24.135;495.192.308;72.115.385;0.387715774913515;136.849.369.969.901;0.506302801443406;130.907.028.978.335;113.935.899.274.229;108.004.774.426.971
220000;70;2;1;2;1;0;1;14621;18.044;396.782.842;57.640.751;0.748804966617069;258.944.944.726.939;0.907539564104885;217.657.207.973.635;0.346669609773088;202.659.577.246.788
450000;165;4;1;2;1;1;1;17428;47.802;45.526.839;11.928.429;0.24549331628838;128.825.009.278.089;0.820443666827516;138.965.141.664.242;0.759011094053593;129.528.637.912.913
286000;94;3;1;2;1;0;0;11121;29.95;260.617.761;84.942.085;0.69226267614849;0.828926404186547;0.890102759690523;188.703.499.857.144;0.720818442190183;0.831169722579013
325000;77;2;1;2;1;0;1;17848;35.197;50.273.224;30.054.645;0.280026315200282;0.266181601302399;0.292918770542984;13.959.118.902.825;0.292894955831036;0.880773428071313
565000;171;3;1;4;1;0;0;15008;35.294;406.557.377;85.245.902;0.810627757920878;144.383.929.816.284;0.286568281920478;160.408.745.429.687;0.0640632379807988;144.966.557.042.249
365800;95;1;1;2;1;0;0;16798;28.049;492.537.313;5.952.381;0.818059358446699;179.584.887.353.837;0.767221498226987;0.854479299615266;0.7869343786331;0.573206411208309
190000;73;2;0;1;0;0;0;14159;25.398;448.837.209;76.744.186;0.815495100683133;217.714.435.098.076;0.44045046568709;136.641.433.928.824;0.297935669153876;0.0974159843207226
265000;82;3;1;1;0;0;0;18342;30.826;480.916.031;26.717.557;0.594627950724695;0.382921574669726;0.625713412356866;17.704.890.111.538;0.194246046751912;0.486439399827193
495000;148;4;1;2;0;0;1;18424;28.56;449.494.949;55.555.556;0.39895583886736;0.143870798972758;0.337524207659628;148.167.176.398.715;0.296120527116411;0.825416649213964
485000;145;4;0;2;0;0;1;16826;29.487;412.541.254;144.736.842;0.271063136043741;0.695310494532271;0.46565329460117;160.576.364.349.035;0.496979312686813;0.482941509913878
229000;94;3;1;1;0;1;0;13319;28.158;348.214.286;20.089.286;0.347530085681824;200.830.814.686.904;0.832676676651926;243.362.673.953.991;0.738143247473033;0.888631693925356
115000;71;3;0;1;0;0;0;9273;24.965;194.244.604;96.402.878;0.424257734992288;178.378.566.932.113;0.813220026205524;17.889.370.200.504;0.58676469575732;10.557.992.998.056
175000;53;1;0;1;1;0;0;15349;24.553;411.255.411;47.619.048;0.202311492718863;129.585.775.547.486;113.690.868.767.583;0.514138739755584;0.19173496058445;141.135.068.712.941
310000;88;3;0;1;0;1;0;15735;27.479;466.076.696;56.047.198;0.189014448385289;162.157.987.282.054;0.648827270323522;152.979.964.825.699;0.953653698773393;110.363.219.605.677
380000;123;3;1;1;0;0;1;14172;26.849;429.787.234;68.085.106;0.422351453253167;21.982.497.554.917;0.149189985731307;229.096.061.158.174;0.532631276896166;0.350979587842176
170000;120;3;1;2;0;0;0;10170;36.838;178.147.268;68.720.379;0.550483241700563;0.602288907368698;0.523285121410153;170.351.863.996.629;0.471987004448925;0.821603002051617
415000;80;3;1;2;1;0;1;16019;29.821;467.592.593;50.925.926;0.637381738997202;165.351.098.105.843;0.715586156692078;0.67259522281196;0.971074295557562;0.75079614257289
320000;90;2;0;1;1;0;0;17297;38.17;515.815.085;68.292.683;0.901613919155409;0.431628556526062;0.513420003931916;0.846581916032131;0.715643054060928;0.429741227424982
305000;81;3;0;2;1;1;0;16054;24.135;495.192.308;72.115.385;0.400032351977686;118.135.403.208.156;0.692216737441036;108.929.720.493.514;103.373.825.102.525;0.922142104933983
210000;79;3;1;1;0;0;1;18389;34.665;497.622.821;45.886.076;0.216554082521233;158.170.295.723.739;0.537563268242859;17.957.355.363.726;0.779401616387988;0.954200862748207
280000;74;3;1;1;0;1;0;18419;33.076;495.708.155;45.064.378;0.369162011051699;0.348772746978539;0.404188202054335;128.832.673.619.286;0.285953789553756;0.883843203720312
260000;88;4;0;2;0;0;1;13906;30.084;352.564.103;25.695.931;0.417876566655427;209.973.039.251.035;0.545723113545072;239.530.549.988.627;0.983532051208551;0.58967397226537
92000;57;2;0;1;1;0;0;5033;17.962;41.584.158;269.306.931;0.434709742351452;0.262150220656096;0.476696681241977;227.415.360.771.977;0.451943756775142;0.305496646801285
240000;73;2;0;1;1;0;0;18705;32.172;512.315.271;66.666.667;0.350008112917708;135.652.607.110.503;0.583926383240598;0.470016037328318;0.861062219169256;100.284.580.622.195
75000;67;2;0;1;0;0;0;7336;26.076;65.989.848;25.380.711;0.68203687950111;389.762.093.781.898;416.068.009.737.409;139.068.484.050.487;0.31500867367297;190.770.883.737.148
79000;54;4;0;1;0;0;0;6124;18.923;68.807.339;201.372.998;0.304410704606947;0.233635834513515;0.345640022420808;223.638.682.859.207;0.568247738322303;0.436157386220058
295000;128;4;0;2;0;0;0;16445;30.884;376.470.588;117.647.059;0.309814729620225;257.315.737.881.785;0.160996813177213;192.792.800.838.723;0.261373089698734;0.506729921891462
200000;63;3;0;1;0;0;0;10792;28.519;265.536.723;36.619.718;0.204844707786383;0.475187710914489;0.650187658218444;142.648.085.238.773;0.455783751461714;0.523592161652113
105000;87;3;1;1;0;0;0;5256;21.447;39.622.642;126.415.094;0.484568134670058;336.632.170.130.142;1.072.961.742.039;183.406.797.973.035;0.375910865444002;0.912435923684493
