"precio","superficie","habitaciones","ascensor","banos","aire_acond","balcon","terraza","renta","longevidad","educ_sup","presion_mig","hospital","metro","universidad","autobus_interurbano","autobus_local","policia_local","espacio_verdes_sev","lon","lat"
180000,76,2,1,1,0,0,0,"9566",32.762,13.5714286,3.7433155,0.653867021250699,4.07020968986534,4.08702771370409,0.897215152219143,1.27313013197717,0.997317974279284,0.678716500879341,-5.925734,37.40729
224990,81,3,1,2,1,0,1,"9493",8.571,22.4783862,0.8645533,0.983170526617391,3.72954227071977,3.89337795327285,1.40407414070676,1.15264530358515,0.869481895798292,0.0765340072484471,-5.9169946,37.395855
250000,70,2,1,1,1,0,0,"14481",33.737,38.3495146,3.8834951,0.0741569270418937,0.622529506326711,0.758648716673699,1.21870497743258,0.635913165363432,0.675688195026895,0.516438741135545,-6.0089817,37.381
143990,97,3,0,1,1,0,0,"9758",35.886,14.0703518,3.0150754,1.01163634316789,4.6538957194193,4.71013956377353,0.992743998077543,1.95517487736198,1.40550725821456,0.0960583301892722,-5.9176464,37.408924
170000,88,3,1,2,1,0,0,"11749",1.86,37.6666667,1.3333333,1.04847921200071,4.33673451855713,4.44924932806908,1.67290749353402,1.92938924880128,1.11318217417753,0.466244907914526,-5.915141,37.40291
379000,129,2,1,2,1,0,0,"15553",29.636,36.3881402,7.0080863,0.76110610495066,0.500193589929489,0.832372793143258,0.875021931755286,0.53571970386833,0.958004939920251,0.360172008302707,-6.0008926,37.383694
185000,83,3,1,2,1,0,0,"10742",4.314,31.8287037,2.4305556,1.41894910485108,4.71695794659253,4.83243040137694,1.69348592087336,2.1690657431349,1.49529411240065,0.531841973408402,-5.9115133,37.4048
160000,84,3,1,1,1,1,0,"5256",21.447,3.9622642,12.6415094,0.446484862266452,3.37914736596959,1.14901292357926,1.78039555420839,0.437358414989549,0.955043880099433,0.186848653319729,-5.9785824,37.41323
232000,65,1,1,1,1,1,1,"17848",35.197,50.273224,3.0054645,0.269080271705007,0.214417565272467,0.257301043960161,1.44428008229111,0.253036366395511,0.916423801139695,0.756215967807523,-5.968763,37.380608
245000,56,1,1,1,1,1,0,"18506",40.388,53.4313725,5.6372549,0.428160308863887,0.846888412706967,1.05124788410788,0.525558391339441,0.699962943530937,1.21466572860072,0.0111349558739428,-6.0020833,37.386696
269000,84,2,1,2,0,0,0,"16585",27.813,44.6708464,7.0532915,0.272722494946977,2.71847831473464,0.140776896856274,2.06488224567956,0.278168392513036,0.642053239191478,0.295139367275509,-5.990285,37.40631
295000,62,2,1,1,1,0,0,"15349",24.553,41.1255411,4.7619048,0.273764752555965,1.23865748675636,1.12340630143501,0.413114711993837,0.232294171075712,1.41729651953435,0.201996498277108,-6.007009,37.38843
350000,79,2,0,1,1,1,0,"19103",33.449,52.5641026,6.3938619,0.33276427808127,0.895858330417264,0.534233529326747,0.59371198991729,0.971304045873354,1.01826814734541,0.115933730725008,-5.997507,37.38959
430000,105,3,1,1,0,0,0,"16296",26.962,48.6935867,2.8503563,0.414192950467229,0.536784088547185,0.348245399765472,1.51828858845947,0.4732961930097,0.501918698016215,0.37137944037237,-5.9997396,37.374332
290164,84,3,1,1,1,0,1,"16996",33.293,45.3874539,5.5147059,0.403975704231115,1.15533105106804,0.921864901618423,1.05643163560656,0.804081054595514,0.979869066376946,0.706124927472962,-5.982766,37.390717
364800,114,3,1,2,1,0,0,"17046",34.105,42.503639,9.7525473,0.44608009600312,2.99134086123846,3.01057887583195,1.61393537429998,0.687022748843883,1.58608359155048,0.273525683444935,-5.942567,37.40433
265000,81,2,0,1,1,1,0,"14159",25.398,44.8837209,7.6744186,0.612054237508911,2.08361160802755,0.483209229023407,1.40582060713689,0.418171829970595,0.127635240463831,0.00430082284888809,-5.9934916,37.40077
210000,65,3,0,1,0,0,0,"8532",21.696,23.8636364,20.0757576,0.0986823016437185,0.159354935738546,0.0653051697156981,1.70322644640971,0.249971313235707,0.137079093357284,0.154312365693542,-6.0035796,37.37586
293000,112,3,1,2,1,0,0,"12916",8.66,33.8006231,2.6438569,0.899379704170524,3.58967356463325,0.703187370185483,3.03480417471814,0.606941110365737,2.53003857725329,0.12669963501817,-5.9822216,37.344215
260000,76,2,1,1,1,0,0,"16536",27.64,50.5084746,6.4189189,0.252679662514567,1.59279111815107,0.438659520507119,1.32213380062151,0.808703167444942,0.723615191290802,0.32493701941754,-5.9902463,37.396027
170000,67,2,1,1,1,0,0,"13906",30.084,35.2564103,2.5695931,0.322637658307694,2.09321791322055,0.76337223528174,2.47894503410798,0.852759387354592,0.776872263284199,0.92274363208243,-5.9738984,37.401863
500000,150,4,1,3,1,0,1,"13319",28.158,34.8214286,2.0089286,0.424890705437829,1.92605164073937,0.826972834138504,2.35797405818135,0.702697557289239,0.927721559513104,0.932535113327083,-5.973044,37.40034
71000,74,2,0,1,0,1,0,"6518",22.765,6.0714286,7.6785714,0.171467619380703,1.5297207808411,1.11258800778133,1.6492228433354,0.387309443773532,0.970719514954363,0.384991614041562,-5.967429,37.365448
425000,112,2,1,2,1,0,0,"19103",33.449,52.5641026,6.3938619,0.491944617905608,0.774883600781412,0.507990341136346,0.751467749045648,1.05726474457737,0.859527513812909,0,-5.995958,37.388817
295000,102,3,0,1,0,1,1,"14043",34.115,37.5,2.5735294,0.237330547788913,2.00433053808157,0.364516124794124,2.2316752899154,0.858647104531794,0.564405136839979,1.30815687463179,-5.9782634,37.40074
